Asin,joy,fear,anger,sadness,disgust,shame,guilt
0140067477,20.69,1.72,17.24,3.45,17.24,29.31,10.34
0142001740,16.77,2.85,11.08,4.43,18.35,36.08,10.44
006097625X,22.22,4.44,24.44,2.22,6.67,35.56,4.44
0071419306,45.45,4.55,4.55,4.55,9.09,31.82,0.0
0195007778,25.53,2.13,14.89,2.13,14.89,38.3,2.13
0143036424,22.02,1.19,20.24,2.98,16.96,25.89,10.71
0143038095,14.71,0.98,13.73,3.92,20.59,36.27,9.8
0140275363,15.85,3.66,23.17,4.88,17.07,29.27,6.1
0099427869,22.5,5.0,10.0,2.5,10.83,42.5,6.67
0060780940,0.0,0.0,13.33,0.0,20.0,60.0,6.67
0140296476,10.34,0.0,34.48,0.0,0.0,41.38,13.79
0156031442,8.77,0.0,22.81,1.75,21.05,40.35,5.26
0060533226,8.33,0.0,33.33,0.0,33.33,25.0,0.0
0073523402,12.5,0.0,12.5,0.0,0.0,50.0,25.0
0195069978,6.67,0.0,26.67,6.67,6.67,46.67,6.67
0062731025,17.65,0.0,29.41,0.0,0.0,35.29,17.65
0060959681,20.69,0.0,13.79,0.0,17.24,44.83,3.45
0070052190,45.45,0.0,36.36,0.0,18.18,0.0,0.0
0252076435,20.0,20.0,0.0,0.0,40.0,20.0,0.0
0201380277,0.0,0.0,20.0,0.0,0.0,80.0,0.0
0140442103,25.0,0.0,37.5,0.0,0.0,33.33,4.17
0195170245,40.0,0.0,30.0,0.0,10.0,20.0,0.0
0061660183,21.95,0.0,21.95,0.0,19.51,34.15,2.44
006062213X,41.67,0.0,16.67,0.0,0.0,33.33,8.33
0061379131,22.22,2.22,20.0,5.56,7.78,33.33,8.89
0142196096,20.0,0.0,10.0,10.0,30.0,25.0,5.0
0306814528,15.38,0.0,15.38,7.69,0.0,61.54,0.0
0140448942,13.89,2.78,22.22,2.78,11.11,38.89,8.33
0060936428,10.89,1.49,39.11,1.98,11.88,28.71,5.94
0143120123,15.38,0.0,15.38,7.69,38.46,15.38,7.69
0143038419,8.37,0.57,22.41,2.27,21.84,38.01,6.52
0156031566,4.84,9.68,41.94,1.61,17.74,20.97,3.23
0295988479,12.5,12.5,50.0,0.0,0.0,12.5,12.5
0060011602,12.5,0.0,62.5,0.0,12.5,12.5,0.0
0195139186,0.0,11.11,22.22,0.0,11.11,55.56,0.0
0060577207,0.0,0.0,18.18,0.0,9.09,72.73,0.0
0156003635,8.33,8.33,41.67,0.0,8.33,25.0,8.33
0143037110,15.0,5.0,20.0,0.0,20.0,40.0,0.0
0060953616,0.0,25.0,50.0,0.0,25.0,0.0,0.0
0060505826,0.0,0.0,50.0,0.0,0.0,50.0,0.0
