,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Reviewer_ID,Asin,Reviewer_Name,Overall,Review_time,Review_Text,Summary,Category,Brand,Title,Rank,bookType,AvgRating
0,93,93,96396,A2VKWLCNZF4ZVB,B007F39X26,The RAWSISTAZ Reviewers,4.0,2009,"Lacey Olivia Bennett was a young girl when she fell in love with Justin.  She is no longer a young girl, and her feelings are no longer the same, they are stronger.  She works for Justin's company for two reasons: the obvious one is she needs a job, and the one most important to her is it keeps her close to Justin.  She has lusted after him for years, but he treats her like one of the guys.  She has tried just being his friend, but it leaves her on the edge of  sanity and just out of range of his love.Desperation breeds actions that are a little too unorthodox and very questionable.  Lacey's seduction is not working and after being pushed to the limits of her tolerance, she takes her efforts to another stage, literally.  Lacey winds up performing at a local hot spot in Atlanta's night life, Magic City.  Will this get Justin's attention and will it push him into action?  All Lacey wants are whispered promises, unforgettable nights and a lasting love with him.IF EVER is the question many women will ask themselves when they are vying for the attention of that certain someone.  This short story is about the pursuit of love, and about not losing yourself in the process.  It made me ask the question 'if ever you wonder how someone feels, why not ask them'?Reviewed by aNNof The RAWSISTAZ(tm) Reviewers",(RAW Rating: 3.5) - Let Me Count The Ways,Literature & Fiction,Visit Amazon's Gail McFarland Page,If Ever - Kindle edition,36198.0,kindle,4.0
1,60,60,2231,A18JHVX925K101,B002CMLEVI,Dii,5.0,2009,"James Somers has written another great book for all ages, proving that a book doesn't need graphic sex or vulgarity to be good!  It is a fast read, one that would be perfect for younger readers/teens with the right amount of fantasy and imagination without getting dragged out.  A young boy, who is used to being the one picked on, is knocked unconscious by bullies, in his dreams he finds he has ""powers"" beyond the normal and is thrown into a new world where he is important to those around him.  These dream friends accept him, respect him and encourage him.  A great story for anyone who has ever felt ""awkward"" in their own skin.",Another great book!,Literature & Fiction,JAMES SOMERS, A World Within (Wielder Saga Book 1) eBook,37278.0,kindle,5.0
2,25,25,1336,A1AL97814HE7GS,B001TJ1O4W,"Sarah ""Fall in Love Every Day""",5.0,2009,"This is a short book, a start to a wonderful new series.  Nalini Singh once again brings a whole new idea to paranormal romance.  I loved ""Angel's Pawn"" and the moment I was finished reading it I bought #2, ""Angel's Blood.""  I'm very excited to read any and all future novels from this very talented author.",A Start to a Wonderful New Series!,Literature & Fiction,Visit Amazon's Nalini Singh Page,Angels&#39; Pawn: A Companion Novella to Angels&#39; Blood: A Companion Novella to Angels# Blood (Guild Hunter) - Kindle edition,126564.0,kindle,5.0
3,40,40,1790,A1F401LQTL6AEC,B00264H2VI,Barbara S,5.0,2009,"I picked this book up out of curiosity and was very impressed. A few of the stories in the horror section were a bit too graphic for my taste, but they were very clearly marked and all of the stories certainly left an impression.  The first section of the stories involved characters from Mr. Konrath's ""Jack Daniels"" crime series.  The stories could be followed without any knowledge of the series and they interested me enough that the first book of the series is on my Kindle waiting to be read. I'll definitely read more books by this author.",Great introduction to the author,Literature & Fiction,Visit Amazon's J.A. Konrath Page,65 Proof - Jack Daniels and Other Thriller Stories - Kindle edition,289668.0,kindle,5.0
4,47,47,1992,A2AY83K9N60V38,B0028TXRJW,"C. Dionne ""Chrissy Dionne""",5.0,2009,"Stacy Daniels's father has been dead to her for years but now that he's finally passed away in reality she has some very difficult decisions to make.  She's been living and working in Great Falls but her father's ranch is where her heart truly lies.  There's just the little issue of her love for Wolfe, Cash and Travis and how wrong loving them seems.Brothers Wolfe, Cash and Travis have been in love with Stacy for years.  They've done their best to protect her from her father's bullying and hateful attitude.  They've never expressed their feelings to Stacy and now with her father gone they feel it's time for her to come back to the ranch - where she belongs - as their woman.Stacy's guilt over the perceived wrong on being in love with three men is emotionally agonizing.  She's convinced her only option is to sell the beloved ranch and return to Great Falls as soon as possible.  Only first she has to consult the attorney about the property and for some reason the man is never available.  That means she spends a lot of time around the ranch and avoiding Wolfe, Cash and Travis is impossible especially when each of them keeps such a close eye on her.  When each man individually seduces her she becomes even more confused and scared.  Despite the men's insistence that she is home, she's determined to leave and doesn't believe there's any way she can confide in them about her feelings for them all.  As it is she's afraid they're going to find out that's she's cheated on each of them with their own brother.  Only there are things that Stacy doesn't know which will shock and change everything she's ever believed.  Will she stay after learning the truth about the ranch and what her father did?HER DAKOTA MEN takes readers on an emotional journey along with the characters as each comes to grips with their feelings and what they mean for their future.  Stacy's generous nature and love for the ranch and everyone who resides there really touches your heart even as you wonder how she could be such a sweet person when her father was so mentally abusive.  Wolfe, Cash and Travis are wonderful men who want nothing more than Stacy's happiness - and for her to stay at the ranch.  They're all dominant men by nature and their interactions with Stacy are beyond scorching.  Leah Brooke is a fairly new author, but she's definitely secured herself a place on my auto-buy list.Chrissy Dionne (courtesy of Romance Junkies)",5 blue ribbons from Romance Junkies,Literature & Fiction,Visit Amazon's Leah Brooke Page,Her Dakota Men [Dakota Heat 1] (Siren Publishing Menage Amour) - Kindle edition,383573.0,kindle,5.0
5,76,76,2676,A2AY83K9N60V38,B002I1XQ0K,"C. Dionne ""Chrissy Dionne""",5.0,2009,"Charli's perfectly comfortable with the simple fact that she's the only female in her small group of friends.  She's a tomboy who loves Couch Potato Thursdays and watching sports with them.  The simple fact that they've always acted as the token big brothers with any potential date has warmed her heart.  Could there possibly be more to their protectiveness than she realizes?Simon, Eric, Rafael, and Lee have all been Charli's best friends and the people she turns to whenever times get rough.  The group's changing now that Lee's ditched bachelorhood for marriage to two women.  Charli's honored with the duty of serving as `best man', but all this excitement and the exotic location have her wondering about the changes that are sure to take place - and a conversation with Lee's new brides leave her no doubt that her feelings for Simon, Eric and Rafael go beyond simple friendship.Charli's not entirely comfortable with the changes taking place in her circle of friends.  However, she's been aware of a tension within the group ever since Rafael admitted to his bisexuality.  Before that, he and Eric had been very close.  Here in Cozumel where Lee, Lori Ann and Connie have chosen to speak their vows, Charli will be given the opportunity to fulfill her fantasies - and then some.  Charli's surprised to learn that she, Simon, Eric and Rafael have been registered for a naughty shore excursion called ""The Race Erotic.""  They'll endure a series of exciting challenges that will bring them closer than ever and force them to acknowledge feelings they'd previously fought to keep hidden.  Charli's fearful that this change to their friendship will destroy the relationship she's come to treasure with `her men.'  What will happen when the fantasy is over and the wedding party returns to reality?R. G. Alexander's THREE FOR ME? is a very hot romance between several longtime friends that takes place in an exotic location.  The friendship between Charli, Simon, Eric and Rafael is extremely strong and it's obvious that none of them want to risk losing that bond, but the love they feel goes beyond friendship.  The Race Erotic starts off as a challenge to all of them; however, by the end of the `game,' it's taken on a more significant role in their lives.  Ms. Alexander allows readers to live out their naughty fantasies through these characters erotic encounters in paradise but she also satisfies that need plenty of emotional impact as well as a `happily-ever-after.'Chrissy Dionne (courtesy of Romance Junkies)",4.5 blue ribbons from Romance Junkies,Literature & Fiction,Visit Amazon's R. G. Alexander Page,Three for Me? - Kindle edition,517328.0,kindle,5.0
6,81,81,2842,A320TMDV6KCFU,B002NOGFHS,MNix,4.0,2009,"For two years Nathan `Nate' Summers has managed to elude his captor known only as the Teacher.  Nate has a special gift, a psychic talent the Teacher uses for monetary and personal gain.  He knows that he must keep moving to avoid being captured and controlled once more.The town of Wolf Creek looks like any other town on the surface but underneath lies a huge secret.  Many of the people who live in Wolf Creek are actually werewolf shifters.A general store burglary brings Nate and Sheriff Joe Nash together.  Soon after they meet Joe realizes that Nate is his mate.  Joe has every intention of wooing Nate and then mating him. But, Nate knows it's only a matter of time if he stays in one place too long the Teacher will find him.  Can Nate trust Joe to protect him and can Joe trust Nate to stay forever?  It does all come down to a simple matter of trust.Author Stormy Glenn gives readers another fun, steamy and suspense filled tale in Full Moon Mating.  There is a large cast of great characters yet the heroes manage to stand out with heart, intelligence and carnal encounters.  No big surprises in Full Moon Mating but that doesn't take away from the enjoyment factor!  You can always count on Ms. Glenn for a good story and Full Moon Mating is total entertainment.LisaReviewed for Joyfully Reviewed",Full Moon Mating,Literature & Fiction,Visit Amazon's Stormy Glenn Page,Full Moon Mating [Wolf Creek Pack 1] (Siren Publishing Classic Manlove) - Kindle edition,595140.0,kindle,4.0
7,34,34,1702,A22Z3RZ040GL35,B0020HR7KW,Lynn McNamee,5.0,2009,"Well written, excellent book.The author pulls you in and doesn't let go.Oddly enough, even though the main characters are contract killers, you still feel an empathy for both of them. It is truly amazing how the author manages to make you identify with these people.Multiple surprises within the book keep you truly entertained.",Couldn't put it down,Literature & Fiction,Visit Amazon's Jon F. Merz Page,Parallax - Kindle edition,596266.0,kindle,5.0
8,39,39,1778,AZA4UWQB1K229,B0024FARCU,"Royce I. Alden ""Alternate Reality""",1.0,2009,the editor should be sued! there many spelling mistakes grammatical errors and word usage and tense usage mistakes. basic premise ok. this stinker should have been offered free...six wasted dollars.  shame on me!,save your money,Literature & Fiction,Visit Amazon's Shara Azod Page,Presents for Sue Ellen - Kindle edition,631028.0,kindle,1.0
9,53,53,2032,A71W7G4TCTH3T,B0029TG2Z2,"BBMoreB ""Heather Coulter""",3.0,2009,"I read the first part of this trilogy,Seducing Jane Porter, because if I got it free on Kindle.  Then I was curious to see how the rest of the weekend went.  After the night with Antonio, he introduces her to his long-time friend Santos.  This book is about the 3 of them and the warning in the product description is on target --- ""Warning: This book contains copious amounts of champagne, kinky under-the-table hi-jinks, a menage to die for, voyeurism and angry shower sex.""  Jane's best friend, Lilly, is having her own fun - this is a subplot but it could be a stand alone story - if it had just a tad bit more attention.  Note before Purchase: this is also a very short story, about 40 pages.  I have also read the third installment,Reinventing Jane Porter: Jane Porter Series, Book 3.",3 is not always a crowd.,Literature & Fiction,Visit Amazon's Dominique Adair Page,Educating Jane Porter - Kindle edition,633021.0,kindle,3.0
